iter	Passed	Remaining
0	165	248280
1	289	216508
2	420	209858
3	566	211784
4	704	210718
5	825	205438
6	945	201696
7	1061	198045
8	1199	198739
9	1318	196510
10	1469	198964
11	1630	202130
12	1736	198607
13	1850	196468
14	1971	195153
15	2110	195727
16	2216	193337
17	2347	193303
18	2478	193175
19	2638	195259
20	2768	194998
21	2873	193074
22	2993	192203
23	3116	191687
24	3217	189804
25	3327	188624
26	3437	187544
27	3557	187006
28	3659	185605
29	3786	185530
30	3900	184818
31	4014	184150
32	4144	184234
33	4261	183751
34	4391	183816
35	4520	183835
36	4648	183786
37	4753	182883
38	4888	183126
39	5037	183862
40	5166	183846
41	5298	183934
42	5399	182950
43	5515	182504
44	5625	181894
45	5737	181340
46	5855	181030
47	5973	180697
48	6110	180942
49	6213	180204
50	6349	180390
51	6485	180607
52	6604	180307
53	6749	180728
54	6878	180716
55	6988	180191
56	7099	179734
57	7186	178667
58	7294	178167
59	7425	178213
60	7543	177941
61	7639	177197
62	7739	176522
63	7827	175630
64	7942	175337
65	8040	174687
66	8154	174416
67	8287	174535
68	8418	174597
69	8529	174252
70	8644	173982
71	8772	173997
72	8879	173568
73	9002	173487
74	9137	173605
75	9250	173332
76	9364	173055
77	9462	172512
78	9587	172451
79	9713	172412
80	9839	172371
81	9944	171960
82	10063	171799
83	10191	171794
84	10310	171637
85	10424	171403
86	10535	171110
87	10651	170913
88	10758	170564
89	10936	171331
90	11052	171125
91	11152	170680
92	11289	170800
93	11421	170830
94	11559	170965
95	11676	170765
96	11790	170542
97	11924	170589
98	12040	170394
99	12139	169953
100	12239	169540
101	12374	169600
102	12508	169660
103	12640	169669
104	12755	169467
105	12912	169814
106	13041	169777
107	13143	169411
108	13248	169074
109	13348	168671
110	13458	168409
111	13580	168300
112	13710	168282
113	13821	168043
114	13931	167786
115	14044	167567
116	14153	167302
117	14286	167316
118	14425	167408
119	14539	167209
120	14671	167205
121	14810	167282
122	14930	167154
123	15071	167240
124	15182	167010
125	15304	166892
126	15429	166808
127	15565	166841
128	15682	166669
129	15810	166618
130	15946	166643
131	16081	166659
132	16210	166615
133	16309	166261
134	16438	166215
135	16549	165980
136	16684	165990
137	16804	165851
138	16915	165623
139	17068	165807
140	17202	165799
141	17319	165629
142	17431	165415
143	17575	165499
144	17702	165431
145	17838	165436
146	17960	165313
147	18091	165264
148	18227	165267
149	18369	165324
150	18500	165275
151	18623	165162
152	18753	165101
153	18891	165117
154	19007	164937
155	19143	164927
156	19273	164870
157	19393	164724
158	19524	164669
159	19662	164672
160	19769	164419
161	19907	164421
162	20045	164424
163	20152	164167
164	20264	163957
165	20399	163936
166	20535	163916
167	20671	163894
168	20796	163784
169	20899	163507
170	21044	163555
171	21199	163680
172	21332	163630
173	21439	163384
174	21584	163426
175	21726	163440
176	21848	163308
177	21967	163155
178	22105	163139
179	22225	162988
180	22363	162966
181	22488	162856
182	22619	162785
183	22732	162590
184	22876	162606
185	23020	162627
186	23164	162646
187	23325	162779
188	23453	162683
189	23579	162573
190	23686	162334
191	23852	162492
192	23979	162387
193	24110	162310
194	24236	162195
195	24362	162086
196	24476	161890
197	24591	161707
198	24707	161527
199	24840	161465
200	24963	161333
201	25074	161124
202	25225	161167
203	25368	161165
204	25499	161084
205	25629	160991
206	25753	160864
207	25871	160703
208	25986	160522
209	26103	160349
210	26200	160056
211	26323	159924
212	26456	159854
213	26566	159648
214	26701	159589
215	26824	159459
216	26955	159375
217	27088	159298
218	27221	159227
219	27366	159223
220	27484	159060
