iter	Passed	Remaining
221	27609	158942
222	27741	158859
223	27879	158814
224	27991	158616
225	28119	158515
226	28247	158410
227	28361	158227
228	28477	158053
229	28603	157939
230	28724	157797
231	28862	157747
232	28992	157653
233	29119	157542
234	29232	157355
235	29362	157264
236	29485	157129
237	29622	157075
238	29759	157017
239	29867	156805
240	30006	156753
241	30146	156713
242	30272	156594
243	30405	156512
244	30536	156421
245	30639	156188
246	30766	156075
247	30907	156031
248	31026	155877
249	31172	155860
250	31314	155823
251	31477	155886
252	31624	155872
253	31763	155814
254	31897	155736
255	32044	155714
256	32130	155403
257	32251	155255
258	32383	155166
259	32531	155150
260	32662	155053
261	32800	154989
262	32945	154956
263	33063	154797
264	33202	154733
265	33341	154675
266	33495	154682
267	33609	154504
268	33751	154455
269	33897	154424
270	34023	154296
271	34174	154286
272	34317	154240
273	34455	154167
274	34582	154049
275	34705	153912
276	34834	153801
277	34968	153711
278	35080	153522
279	35230	153503
280	35375	153463
281	35538	153496
282	35697	153509
283	35826	153396
284	35963	153318
285	36076	153136
286	36207	153031
287	36338	152923
288	36474	152839
289	36595	152692
290	36754	152702
291	36891	152619
292	37012	152469
293	37125	152290
294	37238	152111
295	37372	152016
296	37511	151942
297	37649	151863
298	37759	151669
299	37884	151538
300	38006	151394
301	38136	151281
302	38257	151134
303	38381	151001
304	38491	150809
305	38632	150742
306	38738	150539
307	38876	150457
308	39003	150334
309	39111	150138
310	39249	150055
311	39376	149932
312	39522	149883
313	39653	149773
314	39794	149702
315	39912	149546
316	40046	149448
317	40183	149363
318	40317	149264
319	40436	149110
320	40564	148989
321	40690	148861
322	40827	148772
323	40963	148681
324	41097	148582
325	41236	148503
326	41395	148490
327	41522	148365
328	41654	148258
329	41799	148199
330	41905	147999
331	42021	147835
332	42162	147757
333	42303	147682
334	42431	147560
335	42563	147453
336	42698	147354
337	42840	147281
338	42964	147144
339	43098	147040
340	43210	146863
341	43316	146666
342	43430	146498
343	43544	146328
344	43691	146272
345	43807	146110
346	43942	146010
347	44079	145918
348	44203	145783
349	44333	145668
350	44458	145533
351	44557	145316
352	44692	145218
353	44834	145141
354	44964	145024
355	45086	144885
356	45217	144772
357	45359	144692
358	45477	144539
359	45606	144421
360	45726	144273
361	45849	144133
362	45967	143981
363	46100	143873
364	46232	143765
365	46346	143598
366	46482	143499
367	46609	143373
368	46751	143295
369	46870	143144
370	46990	142997
371	47111	142853
372	47164	142505
373	47280	142347
374	47393	142181
375	47511	142028
376	47652	141947
377	47810	141912
378	47940	141798
379	48063	141661
380	48202	141570
381	48340	141477
382	48480	141391
383	48616	141291
384	48748	141180
385	48896	141116
386	49040	141037
387	49178	140945
388	49314	140845
389	49429	140684
390	49564	140581
391	49666	140383
392	49806	140294
393	49953	140225
394	50094	140138
395	50242	140068
396	50347	139883
397	50482	139777
398	50592	139606
399	50711	139455
400	50850	139363
401	50990	139273
402	51134	139192
403	51269	139087
404	51415	139011
405	51552	138913
406	51671	138763
407	51787	138607
408	51950	138576
409	52089	138482
410	52215	138351
411	52346	138235
412	52484	138136
413	52623	138042
414	52733	137870
415	52864	137751
416	53010	137675
417	53134	137539
418	53271	137437
419	53387	137281
420	53506	137133
421	53632	137003
422	53753	136862
423	53882	136739
424	54012	136619
425	54147	136512
426	54277	136393
427	54401	136258
428	54518	136105
429	54635	135952
430	54759	135819
431	54880	135677
432	55014	135566
433	55143	135443
434	55277	135333
435	55397	135190
436	55532	135081
437	55643	134915
438	55788	134832
439	55921	134720
440	56062	134625
441	56195	134512
442	56332	134410
443	56470	134307
444	56584	134149
445	56693	133978
446	56822	133857
447	56945	133720
448	57063	133570
449	57192	133449
450	57331	133350
451	57472	133255
452	57611	133154
453	57746	133046
454	57879	132932
455	58009	132811
456	58163	132746
457	58293	132623
458	58414	132483
459	58536	132344
460	58674	132241
461	58810	132132
462	58940	132011
463	59086	131925
464	59201	131771
465	59332	131651
466	59464	131535
467	59568	131355
468	59691	131219
469	59808	131070
470	59936	130944
471	60076	130845
472	60216	130744
473	60340	130611
474	60461	130469
475	60594	130355
476	60732	130249
477	60853	130109
478	60972	129965
479	61104	129847
480	61227	129711
481	61377	129632
482	61521	129539
483	61645	129403
484	61757	129244
485	61870	129088
486	62009	128985
487	62163	128911
488	62276	128755
489	62412	128646
490	62543	128526
491	62667	128391
492	62787	128250
493	62899	128091
494	63019	127947
495	63159	127847
496	63296	127739
497	63412	127588
498	63546	127475
499	63681	127362
500	63814	127247
501	63943	127123
502	64054	126962
503	64187	126845
504	64297	126685
505	64415	126540
506	64542	126412
507	64659	126264
508	64787	126139
509	64899	125982
510	65024	125850
511	65154	125728
512	65295	125627
513	65425	125504
514	65558	125387
515	65701	125291
516	65822	125152
517	65950	125026
518	66089	124920
519	66229	124816
520	66368	124711
521	66489	124572
522	66596	124406
523	66710	124253
524	66861	124172
525	66974	124017
526	67106	123899
527	67251	123804
528	67386	123690
529	67530	123593
530	67657	123464
531	67790	123347
532	67905	123197
533	68069	123136
534	68177	122975
535	68336	122903
536	68469	122785
537	68613	122687
538	68740	122559
539	68867	122430
540	68980	122278
541	69114	122162
542	69244	122038
543	69377	121921
544	69487	121762
545	69610	121626
546	69754	121528
547	69872	121384
548	70001	121259
549	70145	121160
550	70277	121040
551	70410	120922
552	70533	120786
553	70669	120673
554	70791	120537
555	70937	120441
556	71055	120297
557	71156	120124
558	71304	120030
559	71428	119898
560	71549	119759
561	71672	119624
562	71812	119517
563	71944	119396
564	72058	119247
565	72178	119107
566	72317	118998
567	72490	118946
568	72619	118820
569	72736	118675
570	72858	118538
571	72984	118408
572	73097	118257
573	73211	118108
574	73356	118008
575	73470	117859
576	73600	117734
577	73719	117594
578	73858	117484
579	73988	117360
580	74114	117231
581	74230	117085
582	74369	116976
583	74523	116889
584	74664	116782
585	74801	116669
586	74924	116535
587	75035	116381
588	75150	116234
589	75284	116117
590	75430	116017
591	75556	115887
592	75695	115777
593	75838	115672
594	75992	115585
595	76128	115469
596	76244	115324
597	76355	115171
598	76518	115096
599	76628	114942
600	76750	114806
601	76870	114667
602	76992	114531
603	77129	114417
604	77246	114273
605	77363	114130
606	77494	114008
607	77628	113889
608	77760	113767
609	77892	113645
610	78018	113516
611	78165	113416
612	78290	113285
613	78410	113145
614	78573	113068
615	78710	112954
616	78828	112812
617	78968	112702
618	79100	112581
619	79229	112454
620	79342	112305
621	79461	112166
622	79580	112026
623	79691	111874
624	79819	111747
625	79934	111602
626	80055	111464
627	80185	111340
628	80316	111216
629	80449	111096
630	80611	111016
631	80728	110873
632	80857	110748
633	80974	110605
634	81091	110462
635	81207	110319
636	81338	110196
637	81453	110052
638	81585	109930
639	81726	109819
640	81853	109690
641	81971	109550
642	82078	109395
643	82207	109269
644	82336	109143
645	82453	109001
646	82590	108887
647	82718	108759
648	82840	108624
649	82953	108478
650	83073	108340
651	83192	108200
652	83325	108080
653	83439	107935
654	83556	107794
655	83688	107672
656	83800	107525
657	83932	107403
658	84074	107294
659	84215	107183
660	84332	107041
661	84461	106916
662	84594	106795
663	84742	106693
664	84872	106569
665	84996	106437
666	85115	106298
667	85237	106164
668	85350	106017
669	85483	105897
670	85607	105765
671	85741	105646
672	85872	105522
673	85995	105388
674	86119	105257
675	86241	105122
676	86357	104981
677	86499	104871
678	86642	104762
679	86778	104644
680	86907	104518
681	87038	104395
682	87160	104260
683	87289	104134
684	87419	104010
685	87532	103865
686	87650	103726
687	87770	103589
688	87916	103483
689	88052	103365
690	88164	103219
691	88283	103082
692	88416	102960
693	88548	102838
694	88682	102718
695	88833	102617
696	88941	102467
697	89062	102332
698	89170	102182
699	89318	102078
700	89446	101951
701	89586	101837
702	89706	101701
703	89844	101585
704	89960	101444
705	90100	101330
706	90223	101198
707	90344	101063
708	90460	100922
709	90588	100795
710	90740	100694
711	90875	100575
712	91016	100462
713	91146	100338
714	91276	100212
715	91410	100091
716	91547	99973
717	91680	99853
718	91803	99719
719	91921	99581
720	92071	99477
721	92184	99335
722	92299	99193
723	92418	99056
724	92561	98945
725	92688	98816
726	92834	98708
727	92983	98603
728	93111	98476
729	93248	98358
730	93367	98221
731	93496	98094
732	93637	97980
733	93771	97859
734	93900	97733
735	94034	97611
736	94181	97504
737	94317	97384
738	94444	97256
739	94579	97135
740	94692	96993
741	94831	96876
742	94986	96776
743	95131	96665
744	95269	96548
745	95384	96407
746	95505	96272
747	95648	96160
748	95765	96021
749	95907	95907
750	96043	95787
751	96186	95674
752	96322	95554
753	96446	95423
754	96554	95275
755	96677	95143
756	96809	95019
757	96940	94894
758	97065	94763
759	97207	94649
760	97321	94508
761	97434	94365
762	97566	94242
763	97698	94117
764	97834	93997
765	97961	93869
766	98103	93754
767	98239	93634
768	98408	93545
769	98551	93431
770	98688	93312
771	98830	93197
772	98969	93080
773	99126	92979
774	99265	92861
775	99385	92725
776	99504	92589
777	99644	92471
778	99757	92329
779	99883	92200
780	100022	92081
781	100176	91978
782	100303	91848
783	100443	91731
784	100576	91608
785	100704	91480
786	100821	91341
787	100960	91223
788	101121	91124
789	101272	91016
790	101412	90899
791	101548	90777
792	101682	90655
793	101802	90519
794	101925	90386
795	102064	90267
796	102201	90147
797	102334	90023
798	102462	89895
799	102572	89750
800	102699	89622
801	102826	89492
802	102960	89369
803	103094	89246
804	103256	89147
805	103391	89024
806	103508	88886
807	103617	88741
808	103747	88615
809	103877	88488
810	104003	88358
811	104131	88229
812	104265	88105
813	104418	87998
814	104568	87889
815	104706	87768
816	104832	87638
817	104941	87493
818	105073	87369
819	105221	87256
820	105346	87126
821	105479	87001
822	105583	86852
823	105701	86716
824	105832	86590
825	105966	86466
826	106097	86340
827	106229	86215
828	106364	86092
829	106475	85949
830	106587	85808
831	106704	85671
832	106829	85540
833	106971	85422
834	107082	85281
835	107235	85172
836	107370	85049
837	107509	84929
838	107631	84796
839	107758	84667
840	107883	84536
841	108001	84400
842	108133	84275
843	108263	84148
844	108394	84021
845	108522	83892
846	108651	83765
847	108774	83632
848	108906	83508
849	109040	83384
850	109164	83252
851	109289	83121
852	109404	82983
853	109539	82860
854	109671	82734
855	109795	82602
856	109906	82461
857	110045	82341
858	110176	82215
859	110309	82090
860	110432	81958
861	110565	81834
862	110702	81712
863	110830	81583
864	110961	81457
865	111090	81329
866	111201	81188
867	111340	81068
868	111464	80936
869	111604	80816
870	111737	80692
871	111878	80572
872	112003	80442
873	112134	80316
874	112252	80180
875	112371	80045
876	112498	79916
877	112632	79792
878	112747	79654
879	112874	79525
880	112985	79384
881	113097	79245
882	113221	79113
883	113378	79006
884	113506	78877
885	113633	78748
886	113793	78642
887	113933	78521
888	114046	78383
889	114185	78262
890	114307	78129
891	114416	77988
892	114532	77851
893	114653	77718
894	114788	77594
895	114923	77470
896	115031	77328
897	115152	77195
898	115285	77070
899	115436	76957
900	115579	76839
901	115708	76711
902	115846	76589
903	115977	76463
904	116088	76323
905	116214	76193
906	116347	76068
907	116469	75936
908	116595	75806
909	116721	75676
910	116853	75550
911	116958	75407
912	117096	75285
913	117205	75144
914	117322	75009
915	117468	74892
916	117610	74773
917	117733	74641
918	117865	74515
919	117980	74378
920	118088	74238
921	118200	74099
922	118312	73961
923	118433	73828
924	118561	73700
925	118691	73573
926	118828	73450
927	118954	73321
928	119082	73192
929	119220	73070
930	119345	72940
931	119481	72816
932	119632	72702
933	119753	72570
934	119863	72431
935	119988	72300
936	120100	72162
937	120230	72035
938	120355	71905
939	120469	71769
940	120582	71632
941	120701	71498
942	120829	71370
943	120957	71241
944	121064	71101
945	121199	70977
946	121325	70847
947	121450	70717
948	121587	70595
949	121706	70461
950	121836	70334
951	121965	70207
952	122091	70077
953	122230	69955
954	122356	69826
955	122477	69694
956	122609	69568
957	122741	69442
958	122876	69318
959	123015	69195
960	123119	69054
961	123248	68926
962	123382	68802
963	123492	68663
964	123630	68541
965	123744	68405
966	123859	68270
967	124010	68154
968	124140	68027
969	124254	67891
970	124381	67762
971	124518	67639
972	124653	67515
973	124785	67389
974	124924	67267
975	125035	67129
976	125161	67000
977	125276	66865
978	125393	66731
979	125512	66598
980	125675	66488
981	125791	66354
982	125924	66228
983	126056	66102
984	126186	65975
985	126312	65846
986	126427	65711
987	126567	65589
988	126686	65456
989	126816	65329
990	126935	65196
991	127052	65063
992	127158	64923
993	127306	64805
994	127445	64683
995	127557	64547
996	127720	64436
997	127858	64313
998	127970	64177
999	128099	64049
1000	128233	63924
1001	128347	63789
1002	128493	63670
1003	128621	63541
1004	128767	63422
1005	128925	63309
1006	129068	63188
1007	129186	63055
1008	129317	62928
1009	129428	62792
1010	129533	62652
1011	129698	62542
1012	129828	62414
1013	129955	62286
1014	130078	62155
1015	130212	62030
1016	130338	61901
1017	130471	61775
1018	130587	61641
1019	130721	61515
1020	130841	61383
1021	130947	61245
1022	131088	61123
1023	131211	60992
1024	131344	60867
1025	131476	60740
1026	131607	60613
1027	131726	60481
1028	131878	60364
1029	132007	60236
1030	132147	60113
1031	132269	59982
1032	132395	59853
1033	132525	59726
1034	132657	59599
1035	132844	59498
1036	133039	59399
1037	133214	59292
1038	133407	59192
1039	133542	59066
1040	133659	58933
1041	133799	58810
1042	133934	58684
1043	134067	58558
1044	134199	58431
1045	134328	58303
1046	134463	58177
1047	134600	58053
1048	134734	57926
1049	134829	57783
1050	134950	57652
1051	135084	57526
1052	135214	57398
1053	135344	57270
1054	135463	57138
1055	135592	57010
1056	135714	56879
1057	135827	56744
1058	135974	56624
1059	136104	56496
1060	136234	56368
1061	136373	56244
1062	136538	56130
1063	136650	55995
1064	136769	55863
1065	136905	55738
1066	137043	55613
1067	137179	55488
1068	137324	55366
1069	137446	55235
1070	137591	55113
1071	137708	54980
1072	137837	54852
1073	138013	54742
1074	138195	54635
1075	138429	54548
1076	138572	54425
1077	138686	54290
1078	138806	54159
1079	138930	54028
1080	139042	53893
1081	139178	53767
1082	139296	53634
1083	139441	53512
1084	139574	53385
1085	139695	53254
1086	139811	53120
1087	139931	52988
1088	140076	52866
1089	140207	52738
1090	140325	52605
1091	140456	52478
1092	140582	52348
1093	140714	52221
1094	140849	52094
1095	140977	51966
1096	141081	51828
1097	141204	51697
1098	141342	51572
1099	141473	51445
1100	141607	51318
1101	141727	51186
1102	141846	51054
1103	141998	50934
1104	142151	50814
1105	142295	50691
1106	142432	50565
1107	142559	50436
1108	142676	50303
1109	142791	50169
1110	142903	50035
1111	143040	49909
1112	143156	49776
1113	143278	49645
1114	143394	49513
1115	143511	49380
1116	143641	49252
1117	143774	49125
1118	143882	48989
1119	144023	48865
1120	144173	48743
1121	144301	48615
1122	144429	48486
1123	144539	48351
1124	144670	48223
1125	144815	48100
1126	144926	47965
1127	145052	47836
1128	145187	47710
1129	145302	47576
1130	145432	47448
1131	145556	47318
1132	145688	47191
1133	145821	47064
1134	145948	46934
1135	146057	46800
1136	146214	46680
1137	146332	46548
1138	146466	46421
1139	146622	46301
1140	146765	46177
1141	146907	46053
1142	147020	45919
1143	147151	45791
1144	147269	45660
1145	147395	45530
1146	147542	45407
1147	147678	45281
1148	147805	45151
1149	147918	45018
1150	148068	44896
1151	148209	44771
1152	148334	44641
1153	148469	44515
1154	148585	44382
1155	148698	44249
1156	148819	44118
1157	148951	43990
1158	149074	43860
1159	149213	43734
1160	149351	43609
1161	149495	43484
1162	149635	43359
1163	149754	43228
1164	149876	43097
1165	150019	42972
1166	150161	42848
1167	150307	42724
1168	150422	42591
1169	150564	42466
1170	150682	42335
1171	150819	42208
1172	150933	42076
1173	151064	41948
1174	151174	41814
1175	151302	41685
1176	151410	41550
1177	151538	41422
1178	151650	41288
1179	151792	41164
1180	151921	41035
1181	152043	40905
1182	152165	40774
1183	152324	40654
1184	152466	40529
1185	152582	40396
1186	152699	40265
1187	152828	40136
1188	152940	40003
1189	153055	39871
1190	153176	39740
1191	153315	39614
1192	153437	39484
1193	153545	39350
1194	153662	39219
1195	153795	39091
1196	153905	38958
1197	154035	38830
1198	154159	38700
1199	154285	38571
1200	154429	38446
1201	154592	38326
1202	154740	38202
1203	154877	38076
1204	155010	37948
1205	155123	37816
1206	155256	37688
1207	155387	37560
1208	155516	37431
1209	155636	37301
1210	155741	37167
1211	155872	37038
1212	156004	36911
1213	156133	36782
1214	156244	36649
1215	156405	36528
1216	156518	36396
1217	156625	36263
1218	156760	36135
1219	156875	36004
1220	157002	35875
1221	157121	35744
1222	157238	35613
1223	157362	35483
1224	157493	35355
1225	157607	35223
1226	157736	35095
1227	157845	34962
1228	157980	34835
1229	158106	34706
1230	158217	34573
1231	158342	34444
1232	158480	34318
1233	158600	34187
1234	158734	34060
1235	158846	33928
1236	158974	33799
1237	159110	33672
1238	159241	33544
1239	159383	33419
1240	159518	33291
1241	159646	33163
1242	159785	33036
1243	159912	32908
1244	160039	32779
1245	160151	32647
1246	160280	32518
1247	160413	32391
1248	160566	32267
1249	160690	32138
1250	160808	32007
1251	160932	31877
1252	161050	31747
1253	161191	31621
1254	161310	31490
1255	161444	31363
1256	161574	31235
1257	161682	31102
1258	161809	30973
1259	161932	30844
1260	162061	30715
1261	162182	30585
1262	162307	30456
1263	162430	30327
1264	162587	30203
1265	162709	30074
1266	162850	29947
1267	162958	29815
1268	163084	29686
1269	163215	29558
1270	163327	29427
1271	163474	29302
1272	163583	29170
1273	163707	29040
1274	163846	28914
1275	163984	28787
1276	164106	28657
1277	164215	28525
1278	164349	28398
1279	164488	28271
1280	164612	28142
1281	164756	28016
1282	164887	27888
1283	164985	27754
1284	165099	27623
1285	165224	27494
1286	165343	27364
1287	165452	27232
1288	165566	27102
1289	165699	26974
1290	165812	26843
1291	165935	26714
1292	166049	26583
1293	166190	26456
1294	166316	26328
1295	166443	26199
1296	166550	26067
1297	166692	25941
1298	166819	25812
1299	166940	25683
1300	167059	25553
1301	167201	25426
1302	167330	25298
1303	167466	25171
1304	167574	25039
1305	167695	24910
1306	167814	24780
1307	167935	24651
1308	168071	24523
1309	168194	24394
1310	168319	24265
1311	168437	24135
1312	168567	24007
1313	168718	23882
1314	168840	23753
1315	168943	23621
1316	169079	23493
1317	169208	23365
1318	169326	23235
1319	169436	23104
1320	169568	22977
1321	169699	22849
1322	169820	22719
1323	169933	22589
1324	170072	22462
1325	170178	22331
1326	170312	22203
1327	170450	22076
1328	170565	21946
1329	170683	21816
1330	170832	21690
1331	170966	21563
1332	171087	21434
1333	171219	21306
1334	171348	21177
1335	171462	21047
1336	171591	20919
1337	171698	20788
1338	171833	20661
1339	171944	20530
1340	172081	20403
1341	172226	20277
1342	172359	20149
1343	172501	20022
1344	172625	19893
1345	172772	19767
1346	172904	19639
1347	173053	19513
1348	173178	19384
1349	173294	19254
1350	173424	19126
1351	173557	18998
1352	173697	18871
1353	173836	18744
1354	173974	18617
1355	174101	18488
1356	174233	18360
1357	174360	18232
1358	174491	18103
1359	174624	17976
1360	174739	17846
1361	174897	17720
1362	175030	17592
1363	175171	17465
1364	175304	17337
1365	175435	17209
1366	175566	17081
1367	175685	16952
1368	175822	16824
1369	175956	16696
1370	176065	16566
1371	176194	16437
1372	176314	16308
1373	176429	16179
1374	176546	16049
1375	176650	15919
1376	176769	15789
1377	176899	15661
1378	177031	15533
1379	177156	15404
1380	177273	15275
1381	177394	15146
1382	177512	15017
1383	177645	14889
1384	177754	14759
1385	177870	14630
1386	177981	14500
1387	178091	14370
1388	178222	14242
1389	178346	14113
1390	178463	13984
1391	178603	13857
1392	178744	13729
1393	178851	13599
1394	178993	13472
1395	179115	13343
1396	179227	13214
1397	179361	13086
1398	179466	12956
1399	179585	12827
1400	179712	12699
1401	179824	12569
1402	179955	12441
1403	180072	12312
1404	180179	12182
1405	180311	12054
1406	180429	11926
1407	180577	11799
1408	180715	11671
1409	180849	11543
1410	180975	11415
1411	181117	11287
1412	181237	11159
1413	181368	11030
1414	181512	10903
1415	181632	10774
1416	181761	10646
1417	181894	10518
1418	182007	10389
1419	182138	10261
1420	182257	10132
1421	182372	10003
1422	182478	9874
1423	182616	9746
1424	182732	9617
1425	182864	9489
1426	182987	9360
1427	183135	9233
1428	183257	9105
1429	183370	8976
1430	183505	8848
1431	183641	8720
1432	183780	8592
1433	183910	8464
1434	184033	8336
1435	184168	8208
1436	184301	8080
1437	184441	7952
1438	184572	7824
1439	184691	7695
1440	184822	7567
1441	184957	7439
1442	185073	7310
1443	185218	7182
1444	185337	7054
1445	185447	6925
1446	185586	6797
1447	185725	6669
1448	185842	6541
1449	185970	6412
1450	186099	6284
1451	186220	6156
1452	186335	6027
1453	186445	5898
1454	186563	5770
1455	186677	5641
1456	186784	5512
1457	186912	5384
1458	187044	5256
1459	187186	5128
1460	187315	5000
1461	187440	4871
1462	187552	4743
1463	187687	4615
1464	187801	4486
1465	187930	4358
1466	188069	4230
1467	188196	4102
1468	188331	3974
1469	188468	3846
1470	188603	3718
1471	188723	3589
1472	188850	3461
1473	189002	3333
1474	189122	3205
1475	189253	3077
1476	189389	2949
1477	189498	2820
1478	189633	2692
1479	189747	2564
1480	189877	2435
1481	190006	2307
1482	190139	2179
1483	190267	2051
1484	190386	1923
1485	190509	1794
1486	190649	1666
1487	190779	1538
1488	190889	1410
1489	191027	1282
1490	191143	1153
1491	191282	1025
1492	191418	897
1493	191540	769
1494	191673	641
1495	191796	512
1496	191932	384
1497	192070	256
1498	192188	128
1499	192305	0
