iter	RMSE
230	1.941482253
231	1.941081712
232	1.940859661
233	1.940537994
234	1.940047098
235	1.939953737
236	1.93964033
237	1.939241614
238	1.938824472
239	1.938477365
240	1.938071069
241	1.937861434
242	1.937379963
243	1.937156972
244	1.936745358
245	1.93646802
246	1.936001565
247	1.935668065
248	1.935095606
249	1.934808555
250	1.934587041
251	1.934355192
252	1.934234545
253	1.93394941
254	1.93370902
255	1.933427877
256	1.933023527
257	1.932634537
258	1.932382391
259	1.932105101
260	1.931592683
261	1.931404432
262	1.930895186
263	1.930703335
264	1.930442089
265	1.930126567
266	1.930108441
267	1.929918084
268	1.929659231
269	1.929371613
270	1.929084673
271	1.928773806
272	1.92853593
273	1.928183984
274	1.927897473
275	1.927741341
276	1.927443803
277	1.927047774
278	1.926794697
279	1.926672492
280	1.926457238
281	1.926151245
282	1.925947316
283	1.925586988
284	1.925366845
285	1.925209098
286	1.925067325
287	1.924771925
288	1.924668475
289	1.92423969
290	1.923796113
291	1.923591999
292	1.923505242
293	1.923190402
294	1.922874203
295	1.922546485
296	1.922153139
297	1.922009526
298	1.921867009
299	1.921647579
300	1.92139751
301	1.921168493
302	1.920871294
303	1.92067489
304	1.920417024
305	1.920162348
306	1.919773333
307	1.919624431
308	1.919326079
309	1.919187151
310	1.918891035
311	1.918614388
312	1.918480739
313	1.918233645
314	1.918211733
315	1.91747368
316	1.917270261
317	1.916904134
318	1.916810774
319	1.91652512
320	1.916277567
321	1.916058384
322	1.915817867
323	1.915707279
324	1.915650095
325	1.915306443
326	1.915126481
327	1.9148582
328	1.914569374
329	1.914463251
330	1.914048964
331	1.913891089
332	1.913700449
333	1.913365512
334	1.913088975
335	1.912682116
336	1.912487798
337	1.911956128
338	1.911689485
339	1.911353196
340	1.911203912
341	1.910982983
342	1.910847634
343	1.910546408
344	1.910156414
345	1.909970276
346	1.9097027
347	1.909584249
348	1.909317572
349	1.908934347
350	1.908452457
351	1.908355031
352	1.908205291
353	1.90776599
354	1.907522365
355	1.907420234
356	1.906983062
357	1.906484851
358	1.906253713
359	1.906031992
360	1.905918214
361	1.905560542
362	1.905400201
363	1.905172705
364	1.904892173
365	1.904549352
366	1.904182967
367	1.903833624
368	1.903513133
369	1.903207
370	1.902972602
371	1.902759548
372	1.902342571
373	1.90225083
374	1.901894548
375	1.901783511
376	1.901452819
377	1.901122826
378	1.900969706
379	1.900803228
380	1.900579435
381	1.900400472
382	1.900100548
383	1.89987534
384	1.899860531
385	1.899739619
386	1.899369
387	1.898824574
388	1.898390455
389	1.897995724
390	1.897684381
391	1.897346104
392	1.897047369
393	1.896929418
394	1.896708513
395	1.896655537
396	1.896372051
397	1.895909128
398	1.895400259
399	1.894912763
400	1.89470904
401	1.894515624
402	1.894461881
403	1.894445472
404	1.894131766
405	1.893645581
406	1.893430621
407	1.893093072
408	1.892816852
409	1.892582525
410	1.892402852
411	1.892355821
412	1.891965421
413	1.891666382
414	1.891363767
415	1.891167826
416	1.890927471
417	1.890783444
418	1.890423423
419	1.89011203
420	1.889590696
421	1.889408328
422	1.889160234
423	1.889023232
424	1.888633598
425	1.888530079
426	1.888288229
427	1.888247124
428	1.887836716
429	1.887647124
430	1.887323024
431	1.887224906
432	1.886921642
433	1.886612394
434	1.886333857
435	1.886022835
436	1.885889306
437	1.885374297
438	1.885133576
439	1.884889037
440	1.884854179
441	1.884719082
442	1.884359289
443	1.884210438
444	1.88376184
445	1.883747433
446	1.883495129
447	1.883148151
448	1.882802785
449	1.882785861
450	1.882571492
451	1.882327089
452	1.882238662
453	1.882047441
454	1.882027827
455	1.881970895
456	1.881959648
457	1.881662304
458	1.881519789
459	1.881199303
460	1.881149902
461	1.881003454
462	1.880937234
463	1.880797515
464	1.880759492
465	1.880581579
466	1.880436023
467	1.880036557
468	1.879705109
469	1.879368328
470	1.879131317
471	1.878814484
472	1.878311925
473	1.877901929
474	1.877661588
475	1.877581456
476	1.877256071
477	1.877194034
478	1.876881679
479	1.876709805
480	1.876624067
481	1.876256777
482	1.875970382
483	1.875631959
484	1.875612175
485	1.875224422
486	1.875053576
487	1.874820844
488	1.874786264
489	1.8745785
490	1.874299925
491	1.874260088
492	1.873763898
493	1.873611445
494	1.873529366
495	1.873494129
496	1.873379426
497	1.873220497
498	1.872911844
499	1.872659583
500	1.872513481
501	1.872361597
502	1.872076063
503	1.87201051
504	1.871763085
505	1.871753201
506	1.871749521
507	1.871427452
508	1.871097838
509	1.871093704
510	1.870974685
511	1.870731078
512	1.870703704
513	1.870439211
514	1.870312829
515	1.870266232
516	1.87010929
517	1.870060615
518	1.870002301
519	1.869626353
520	1.869535647
521	1.869453592
522	1.869390934
523	1.869114432
524	1.869081017
525	1.868999903
526	1.868996156
527	1.86866659
528	1.868655988
529	1.868411981
530	1.868216052
531	1.868188451
532	1.868040542
533	1.867976315
534	1.867691786
535	1.867500597
536	1.867180119
537	1.867026103
538	1.866835794
539	1.866622559
540	1.86632507
541	1.866294937
542	1.865942534
543	1.865831754
544	1.86566923
545	1.865410468
546	1.865407731
547	1.865197548
548	1.86494473
549	1.864578873
550	1.864430671
551	1.864418428
552	1.864067343
553	1.863765865
554	1.863761426
555	1.863583625
556	1.863426963
557	1.863373636
558	1.863081728
559	1.862846689
560	1.862843115
561	1.862589141
562	1.862540843
563	1.862216685
564	1.862072297
565	1.861742098
566	1.861573141
567	1.861532965
568	1.861446442
569	1.861306698
570	1.86111276
571	1.860878108
572	1.860539644
573	1.860516536
574	1.860511617
575	1.860347598
576	1.860179927
577	1.860038535
578	1.859977959
579	1.859541634
580	1.859443671
581	1.859358566
582	1.859275442
583	1.859256305
584	1.859197545
585	1.859137072
586	1.858599492
587	1.858345474
588	1.858146512
589	1.857929915
590	1.85781266
591	1.857768013
592	1.857480649
593	1.857293136
594	1.856893917
595	1.856848227
596	1.856518322
597	1.85618789
598	1.856184586
599	1.856181474
600	1.856114935
601	1.855768662
602	1.855690424
603	1.855630571
604	1.855494545
605	1.855388037
606	1.855077065
607	1.855072926
608	1.855069908
609	1.854913072
610	1.854910151
611	1.854907237
612	1.854642604
613	1.854268856
614	1.854112704
615	1.853904687
616	1.853656712
617	1.853624846
618	1.853376994
619	1.853103635
620	1.853100804
621	1.853049576
622	1.853014513
623	1.852900723
624	1.852895981
625	1.852893827
626	1.852891751
627	1.852773747
628	1.852771014
629	1.852682346
630	1.852536975
631	1.852111247
632	1.852061634
633	1.852051891
634	1.852049018
635	1.851799464
636	1.851762485
637	1.851647256
638	1.851529602
639	1.851258445
640	1.85095569
641	1.850789235
642	1.850744647
643	1.850742036
644	1.850581434
645	1.850323841
646	1.850217849
647	1.850205203
648	1.850022971
649	1.849809237
650	1.849754475
651	1.8494888
652	1.849330932
653	1.849184234
654	1.849108066
655	1.849062109
656	1.848903084
657	1.848716918
658	1.848503145
659	1.848226656
660	1.848224066
661	1.848152225
662	1.847841987
663	1.847710432
664	1.847571978
665	1.84742144
666	1.847306319
667	1.846998392
668	1.846986425
669	1.846903598
670	1.846884822
671	1.846626781
672	1.846574826
673	1.846572529
674	1.846570268
675	1.846385767
676	1.846383823
677	1.846200289
678	1.846012664
679	1.845879575
680	1.845650179
681	1.84534755
682	1.845061823
683	1.844996066
684	1.844850014
685	1.844847664
686	1.84455749
687	1.844471873
688	1.844160477
689	1.844158209
690	1.84386451
691	1.843856124
692	1.843848078
693	1.843557824
694	1.84327806
695	1.843276132
696	1.843036384
697	1.842954464
698	1.842794582
699	1.842571684
700	1.842449165
701	1.84209662
702	1.841910534
703	1.841715366
704	1.841484598
705	1.841322336
706	1.841198749
707	1.841163125
708	1.840896418
709	1.840526501
710	1.840430769
711	1.840278326
712	1.840247837
713	1.840245817
714	1.840244007
715	1.840223184
716	1.840187968
717	1.839918474
718	1.839785391
719	1.839477642
720	1.839158364
721	1.839129264
722	1.838939427
723	1.838682956
724	1.838556697
725	1.838554983
726	1.838419199
727	1.838237309
728	1.838076726
729	1.837911479
730	1.837713949
731	1.837479858
732	1.83743858
733	1.837411004
734	1.836943808
735	1.836942154
736	1.836718799
737	1.836497545
738	1.836310383
739	1.835794707
740	1.835566957
741	1.835263947
742	1.835030255
743	1.834798926
744	1.834509571
745	1.834507822
746	1.834427306
747	1.834064199
748	1.833760115
749	1.833728514
750	1.833577227
751	1.833340676
752	1.833338973
753	1.833203133
754	1.832980065
755	1.832874793
756	1.832847833
757	1.832672111
758	1.83256638
759	1.8323765
760	1.83222447
761	1.832142721
762	1.831901732
763	1.831692239
764	1.831544325
765	1.831321289
766	1.831304445
767	1.831171119
768	1.830963185
769	1.830777034
770	1.83056487
771	1.830349595
772	1.830157407
773	1.829942033
774	1.829824845
775	1.829714103
776	1.829686622
777	1.82956384
778	1.829302289
779	1.829123978
780	1.828912485
781	1.828698292
782	1.828675203
783	1.828652156
784	1.828284524
785	1.828145697
786	1.828144353
787	1.828142899
788	1.828119608
789	1.828028289
790	1.82775987
791	1.827447028
792	1.827445733
793	1.827237674
794	1.82703367
795	1.826829978
796	1.826742782
797	1.826512095
798	1.826510819
799	1.826420357
800	1.826195902
801	1.826194519
802	1.825976833
803	1.825913864
804	1.825795534
805	1.825702254
806	1.825471294
807	1.825173863
808	1.824893644
809	1.824698872
810	1.824607881
811	1.824376229
812	1.824324715
813	1.824052718
814	1.824021148
815	1.823840233
816	1.823718333
817	1.82371704
818	1.82337312
819	1.823351284
820	1.823333395
821	1.823198676
822	1.823153372
823	1.823041379
824	1.822843696
825	1.822652973
826	1.822475186
827	1.822342162
828	1.822076178
829	1.821549651
830	1.821357054
831	1.821186087
832	1.821027222
833	1.820937531
834	1.820874521
835	1.820646605
836	1.820403145
837	1.820359802
838	1.820276918
839	1.820090234
840	1.820021925
841	1.819958191
842	1.819787903
843	1.819735049
844	1.819569848
845	1.819330362
846	1.81932903
847	1.819263683
848	1.819250434
849	1.819187024
850	1.818844372
851	1.818654695
852	1.81841571
853	1.818191637
854	1.817886434
855	1.817819423
856	1.81781815
857	1.817674954
858	1.817590113
859	1.81748991
860	1.8172042
861	1.817003422
862	1.816963484
863	1.816912743
864	1.816642001
865	1.816471324
866	1.816378262
867	1.816248223
868	1.816092247
869	1.815887957
870	1.815775312
871	1.815615682
872	1.815359542
873	1.815212792
874	1.814946634
875	1.814945022
876	1.814791731
877	1.814685731
878	1.81449004
879	1.814464844
880	1.814463273
881	1.814222966
882	1.814221837
883	1.814014847
884	1.813679381
885	1.81363366
886	1.81362803
887	1.813622604
888	1.813478156
889	1.813266285
890	1.813107227
891	1.812852961
892	1.812712396
893	1.812442799
894	1.812441861
895	1.812382059
896	1.812135735
897	1.811977552
898	1.811878971
899	1.811656358
900	1.811655435
901	1.811415839
902	1.811201152
903	1.810949491
904	1.810833077
905	1.810817983
906	1.810760201
907	1.810619452
908	1.810566227
909	1.810360793
910	1.810265492
911	1.810054387
912	1.809908641
913	1.80976404
914	1.809322371
915	1.808994832
916	1.808836919
917	1.808630208
918	1.808117384
919	1.808115666
920	1.807888324
921	1.807829985
922	1.80773462
923	1.80764456
924	1.807534285
925	1.807335086
926	1.807127173
927	1.806868786
928	1.80661689
929	1.806540198
930	1.806415757
931	1.806201854
932	1.806011141
933	1.805845339
934	1.805720341
935	1.805469606
936	1.805337364
937	1.805200944
938	1.8049929
939	1.804853197
940	1.804677975
941	1.804455714
942	1.804436135
943	1.804271616
944	1.803987001
945	1.803775358
946	1.803720894
947	1.803470098
948	1.803416086
949	1.803265825
950	1.803075155
951	1.803021173
952	1.802938487
953	1.802859379
954	1.802857456
955	1.802730933
956	1.802636269
957	1.802582629
958	1.802422751
959	1.802181387
960	1.802124896
961	1.801769158
962	1.801622323
963	1.801510944
964	1.801031526
965	1.80102991
966	1.800887658
967	1.80080522
968	1.800803672
969	1.800626032
970	1.80042537
971	1.80039004
972	1.800295916
973	1.79992385
974	1.799746889
975	1.799506048
976	1.7992985
977	1.799154737
978	1.798982864
979	1.798837545
980	1.79876742
981	1.798714895
982	1.798668241
983	1.798651052
984	1.798427472
985	1.798293355
986	1.798292333
987	1.798145096
988	1.798052526
989	1.797995697
990	1.797787009
991	1.797528159
992	1.797363196
993	1.797302252
994	1.797166692
995	1.797070768
996	1.796987076
997	1.796857464
998	1.796741848
999	1.796555719
1000	1.796523619
1001	1.796477029
1002	1.796344636
1003	1.796111511
1004	1.79580941
1005	1.795776604
1006	1.795581195
1007	1.795321066
1008	1.795205608
1009	1.795077807
1010	1.795065481
1011	1.794885794
1012	1.794774786
1013	1.794722634
1014	1.79468339
1015	1.794649734
1016	1.79452926
1017	1.794387937
1018	1.794291241
1019	1.794229163
1020	1.794208506
1021	1.794031156
1022	1.793826594
1023	1.793695939
1024	1.793538599
1025	1.793431293
1026	1.793321477
1027	1.793189757
1028	1.793017488
1029	1.792942381
1030	1.792718657
1031	1.792429797
1032	1.792383948
1033	1.792235694
1034	1.792190906
1035	1.791990122
1036	1.79187708
1037	1.791872249
1038	1.791647549
1039	1.791533483
1040	1.791440311
1041	1.791373631
1042	1.791307083
1043	1.791199409
1044	1.791008828
1045	1.790995867
1046	1.790772737
1047	1.790547141
1048	1.790454718
1049	1.790371425
1050	1.79020539
1051	1.790053622
1052	1.78983923
1053	1.789773786
1054	1.789565071
1055	1.789379934
1056	1.78903868
1057	1.78900866
1058	1.788811198
1059	1.788595386
1060	1.788380937
1061	1.788260375
1062	1.788232643
1063	1.788135124
1064	1.788134226
1065	1.787933412
1066	1.787921707
1067	1.787736283
1068	1.787667541
1069	1.787533565
1070	1.787449468
1071	1.787267847
1072	1.787267029
1073	1.787222196
1074	1.787146889
1075	1.787039072
1076	1.78701515
1077	1.786988718
1078	1.78689333
1079	1.78673075
1080	1.786543142
1081	1.786432707
1082	1.786344792
1083	1.786165683
1084	1.786001091
1085	1.785805836
1086	1.785691077
1087	1.785582162
1088	1.785500935
1089	1.785298571
1090	1.785268886
1091	1.785170735
1092	1.785059134
1093	1.784960856
1094	1.784568718
1095	1.784479363
1096	1.78443607
1097	1.784425883
1098	1.78433708
1099	1.784127974
1100	1.783988075
1101	1.78379227
1102	1.783675001
1103	1.783580004
1104	1.783452333
1105	1.783426748
1106	1.783281671
1107	1.783191968
1108	1.782939687
1109	1.782838804
1110	1.782740414
1111	1.782677316
1112	1.782545662
1113	1.782444603
1114	1.782301197
1115	1.782187751
1116	1.781961554
1117	1.781899668
1118	1.78174383
1119	1.78174191
1120	1.781566261
1121	1.781355767
1122	1.78119646
1123	1.781085199
1124	1.781078313
1125	1.781020726
1126	1.780848037
1127	1.7806222
1128	1.78042364
1129	1.780248824
1130	1.780169799
1131	1.779994396
1132	1.779876048
1133	1.77984821
1134	1.779764928
1135	1.779685276
1136	1.77956632
1137	1.779334051
1138	1.779305054
1139	1.779234312
1140	1.779166538
1141	1.778980672
1142	1.778963847
1143	1.778877706
1144	1.778685846
1145	1.778555162
1146	1.778437374
1147	1.778436496
1148	1.778279136
1149	1.77811121
1150	1.778019448
1151	1.777919868
1152	1.77785306
1153	1.777680533
1154	1.777679139
1155	1.777490081
1156	1.777242695
1157	1.777067607
1158	1.776976138
1159	1.776975081
1160	1.77697323
1161	1.77680279
1162	1.776595278
1163	1.776482635
1164	1.776373966
1165	1.776269359
1166	1.776074393
1167	1.776055644
1168	1.77579963
1169	1.775733993
1170	1.775544551
1171	1.775321346
1172	1.775178876
1173	1.77505359
1174	1.774890121
1175	1.774771309
1176	1.774687815
1177	1.774603255
1178	1.774435333
1179	1.774354667
1180	1.774353888
1181	1.774292588
1182	1.774175793
1183	1.773980915
1184	1.773889496
1185	1.773781801
1186	1.773778074
1187	1.773672372
1188	1.773450165
1189	1.773341755
1190	1.773205248
1191	1.77313096
1192	1.772844578
1193	1.772691024
1194	1.772590164
1195	1.772509827
1196	1.772410727
1197	1.772410371
1198	1.772324614
1199	1.772100712
1200	1.771940344
1201	1.771841291
1202	1.771630462
1203	1.771626631
1204	1.771566965
1205	1.771349224
1206	1.771130786
1207	1.771004175
1208	1.770918423
1209	1.770832663
1210	1.770671518
1211	1.770540766
1212	1.770431684
1213	1.770415189
1214	1.77030618
1215	1.770221104
1216	1.769872333
1217	1.769744261
1218	1.769623997
1219	1.769576651
1220	1.769480071
1221	1.769454151
1222	1.769306929
1223	1.769218529
1224	1.769070382
1225	1.76893287
1226	1.768839197
1227	1.76855053
1228	1.768373281
1229	1.768341176
1230	1.768206294
1231	1.76808917
1232	1.767982953
1233	1.767978672
1234	1.767939318
1235	1.767930316
1236	1.767810615
1237	1.767575067
1238	1.767469554
1239	1.767378875
1240	1.767243368
1241	1.767144579
1242	1.767116035
1243	1.766991491
1244	1.766829701
1245	1.766657864
1246	1.766403796
1247	1.766104302
1248	1.765867871
1249	1.765792889
1250	1.765493239
1251	1.765405724
1252	1.765335804
1253	1.765283303
1254	1.765229681
1255	1.765087347
1256	1.764870725
1257	1.764790856
1258	1.764514528
1259	1.764511742
1260	1.764337637
1261	1.764254515
1262	1.764204168
1263	1.764114907
1264	1.763822276
1265	1.763625648
1266	1.763462608
1267	1.763211771
1268	1.76311518
1269	1.76304005
1270	1.76302248
1271	1.762869306
1272	1.762860268
1273	1.762730642
1274	1.762629806
1275	1.762523501
1276	1.762243591
1277	1.762206944
1278	1.762105102
1279	1.762049358
1280	1.761945564
1281	1.761813167
1282	1.761805189
1283	1.761516648
1284	1.761378034
1285	1.761188894
1286	1.761122345
1287	1.761117953
1288	1.761030719
1289	1.76084809
1290	1.760755925
1291	1.760668667
1292	1.76059245
1293	1.760453677
1294	1.760338046
1295	1.760279514
1296	1.760114381
1297	1.760111436
1298	1.759941252
1299	1.759817022
1300	1.759651359
1301	1.759591182
1302	1.759404121
1303	1.759254545
1304	1.759209681
1305	1.759062656
1306	1.758951294
1307	1.758653474
1308	1.758562351
1309	1.758484417
1310	1.758409709
1311	1.758250243
1312	1.758118479
1313	1.75802085
1314	1.757914739
1315	1.757830029
1316	1.757730904
1317	1.757647761
1318	1.757621934
1319	1.75742866
1320	1.757420172
1321	1.757229349
1322	1.757024741
1323	1.756926478
1324	1.75691478
1325	1.756771743
1326	1.756725046
1327	1.756718349
1328	1.756630623
1329	1.756450735
1330	1.756384202
1331	1.75622352
1332	1.756167497
1333	1.75609398
1334	1.755989589
1335	1.755851149
1336	1.755672517
1337	1.755548555
1338	1.75549889
1339	1.755466655
1340	1.755436649
1341	1.755406171
1342	1.755101554
1343	1.755101025
1344	1.755100258
1345	1.754993259
1346	1.754884546
1347	1.754650202
1348	1.754564678
1349	1.754553772
1350	1.754124737
1351	1.754072777
1352	1.75400809
1353	1.753882745
1354	1.753867605
1355	1.753669422
1356	1.753525573
1357	1.753311731
1358	1.753308976
1359	1.753223768
1360	1.753141474
1361	1.75313242
1362	1.753050218
1363	1.752877943
1364	1.752785265
1365	1.75252575
1366	1.752483644
1367	1.752419751
1368	1.752359902
1369	1.752297166
1370	1.752203999
1371	1.75218653
1372	1.752081661
1373	1.751994528
1374	1.751917455
1375	1.751690966
1376	1.7515966
1377	1.751493444
1378	1.751370425
1379	1.751299
1380	1.751291611
1381	1.751211437
1382	1.75108493
1383	1.751057929
1384	1.750924195
1385	1.750900757
1386	1.750625443
1387	1.750520432
1388	1.750349314
1389	1.75019303
1390	1.750084725
1391	1.750047375
1392	1.749810812
1393	1.749692948
1394	1.749557078
1395	1.749496603
1396	1.749296501
1397	1.749123627
1398	1.74898255
1399	1.748879388
1400	1.748847145
1401	1.748688751
1402	1.748502615
1403	1.748428696
1404	1.748299059
1405	1.748136329
1406	1.748113583
1407	1.74795618
1408	1.747911169
1409	1.747708888
1410	1.747629815
1411	1.747624429
1412	1.74757365
1413	1.747406289
1414	1.74730497
1415	1.747240892
1416	1.747123154
1417	1.746948126
1418	1.74678703
1419	1.7467144
1420	1.746597435
1421	1.746580165
1422	1.746476831
1423	1.746469493
1424	1.746287441
1425	1.746210028
1426	1.746130575
1427	1.746060346
1428	1.745951282
1429	1.745822432
1430	1.745638101
1431	1.745370447
1432	1.74524503
1433	1.745147415
1434	1.745068293
1435	1.74506603
1436	1.745047311
1437	1.744691339
1438	1.744675253
1439	1.744623853
1440	1.744467773
1441	1.7443667
1442	1.744348182
1443	1.744244718
1444	1.743953672
1445	1.743824672
1446	1.74369178
1447	1.743575003
1448	1.743462551
1449	1.743234219
1450	1.743231461
1451	1.743169531
1452	1.743002687
1453	1.742999535
1454	1.742937684
1455	1.742764479
1456	1.742575491
1457	1.742572413
1458	1.742568097
1459	1.74241784
1460	1.742393485
1461	1.742277499
1462	1.742275934
1463	1.742113064
1464	1.741957605
1465	1.741779776
1466	1.7416841
1467	1.741616653
1468	1.741495027
1469	1.741453182
1470	1.741218578
1471	1.741098002
1472	1.741079817
1473	1.740917853
1474	1.740729803
1475	1.740546916
1476	1.740383977
1477	1.740236326
1478	1.740207881
1479	1.7400432
1480	1.739991041
1481	1.739990465
1482	1.739861573
1483	1.739720282
1484	1.739628398
1485	1.739240518
1486	1.739200277
1487	1.738934798
1488	1.738863119
1489	1.738750827
1490	1.738492918
1491	1.738432981
1492	1.738397348
1493	1.738251829
1494	1.738157488
1495	1.738081421
1496	1.737998829
1497	1.737840016
1498	1.737803971
1499	1.737625109
